# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1627358	1628407	+	WP_010668116.1	WP_010668116.1		magnesium transporter			A39U_RS0107885	1050	349	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1628568	1630688	-							A39U_RS0107890	2121		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1628568	1630688	-	WP_035349923.1	WP_035349923.1		prolyl oligopeptidase family serine peptidase			A39U_RS0107890	2121	706	
gene	tRNA	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1630951	1631026	-							A39U_RS0107895	76		
tRNA		GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1630951	1631026	-				tRNA-Ala			A39U_RS0107895	76		anticodon=GGC
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1631120	1631767	-							A39U_RS0107900	648		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1631120	1631767	-	WP_010666816.1	WP_010666816.1		Maf family protein			A39U_RS0107900	648	215	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1632230	1633237	+							A39U_RS0107905	1008		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1632230	1633237	+	WP_018308028.1	WP_018308028.1		uroporphyrinogen decarboxylase			A39U_RS0107905	1008	335	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1633240	1633941	+							A39U_RS0107910	702		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1633240	1633941	+	WP_010669137.1	WP_010669137.1		HAD family phosphatase			A39U_RS0107910	702	233	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1633947	1634387	+					hemJ		A39U_RS0107915	441		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1633947	1634387	+	WP_018308029.1	WP_018308029.1		protoporphyrinogen oxidase HemJ	hemJ		A39U_RS0107915	441	146	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1634460	1635002	+							A39U_RS0107920	543		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1634460	1635002	+	WP_010668347.1	WP_010668347.1		Spy/CpxP family protein refolding chaperone			A39U_RS0107920	543	180	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1635129	1635434	-							A39U_RS0107925	306		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1635129	1635434	-	WP_010668346.1	WP_010668346.1		hypothetical protein			A39U_RS0107925	306	101	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1635449	1635973	-							A39U_RS0107930	525		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1635449	1635973	-	WP_018308030.1	WP_018308030.1		hypothetical protein			A39U_RS0107930	525	174	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1636002	1636595	-							A39U_RS0107935	594		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1636002	1636595	-	WP_010665796.1	WP_010665796.1		hypothetical protein			A39U_RS0107935	594	197	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1636800	1637528	+							A39U_RS0107945	729		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1636800	1637528	+	WP_010665798.1	WP_010665798.1		IclR family transcriptional regulator			A39U_RS0107945	729	242	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1637616	1638017	+							A39U_RS0107950	402		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1637616	1638017	+	WP_010665799.1	WP_010665799.1		heme-binding protein			A39U_RS0107950	402	133	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1638063	1639292	+							A39U_RS0107955	1230		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1638063	1639292	+	WP_010665800.1	WP_010665800.1		MFS transporter			A39U_RS0107955	1230	409	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1640070	1641797	+							A39U_RS0107960	1728		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1640070	1641797	+	WP_010665801.1	WP_010665801.1		Hint domain-containing protein			A39U_RS0107960	1728	575	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1642001	1643152	-							A39U_RS0107965	1152		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1642001	1643152	-	WP_010668659.1	WP_010668659.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme			A39U_RS0107965	1152	383	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1643318	1644631	+							A39U_RS0107970	1314		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1643318	1644631	+	WP_010668660.1	WP_010668660.1		Nramp family divalent metal transporter			A39U_RS0107970	1314	437	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1644992	1645999	+							A39U_RS0107975	1008		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1644992	1645999	+	WP_026200080.1	WP_026200080.1		formamidase			A39U_RS0107975	1008	335	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1646003	1646905	-							A39U_RS0107980	903		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1646003	1646905	-	WP_018308032.1	WP_018308032.1		DNA-binding response regulator			A39U_RS0107980	903	300	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1646902	1650231	-							A39U_RS0107985	3330		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1646902	1650231	-	WP_010667992.1	WP_010667992.1		response regulator			A39U_RS0107985	3330	1109	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1650475	1651710	+					urtA		A39U_RS0107995	1236		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1650475	1651710	+	WP_010667994.1	WP_010667994.1		urea ABC transporter substrate-binding protein	urtA		A39U_RS0107995	1236	411	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1651807	1652733	+					urtB		A39U_RS0108000	927		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1651807	1652733	+	WP_010667995.1	WP_010667995.1		urea ABC transporter permease subunit UrtB	urtB		A39U_RS0108000	927	308	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1652784	1653899	+					urtC		A39U_RS0108005	1116		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1652784	1653899	+	WP_010667996.1	WP_010667996.1		urea ABC transporter permease subunit UrtC	urtC		A39U_RS0108005	1116	371	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1653912	1654658	+					urtD		A39U_RS0108010	747		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1653912	1654658	+	WP_010667997.1	WP_010667997.1		urea ABC transporter ATP-binding protein UrtD	urtD		A39U_RS0108010	747	248	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1654678	1655376	+					urtE		A39U_RS0108015	699		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1654678	1655376	+	WP_081471000.1	WP_081471000.1		urea ABC transporter ATP-binding subunit UrtE	urtE		A39U_RS0108015	699	232	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1655726	1656919	+							A39U_RS0108025	1194		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1655726	1656919	+	WP_031941558.1	WP_031941558.1		aspartate aminotransferase family protein			A39U_RS0108025	1194	397	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1656916	1657920	+					argF		A39U_RS0108030	1005		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1656916	1657920	+	WP_010668001.1	WP_010668001.1		ornithine carbamoyltransferase	argF		A39U_RS0108030	1005	334	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1657917	1658267	+							A39U_RS0108035	351		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1657917	1658267	+	WP_010668002.1	WP_010668002.1		hypothetical protein			A39U_RS0108035	351	116	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1658353	1659324	+							A39U_RS0108040	972		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1658353	1659324	+	WP_010668003.1	WP_010668003.1		Hsp33 family molecular chaperone HslO			A39U_RS0108040	972	323	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1659399	1660364	+							A39U_RS0108045	966		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1659399	1660364	+	WP_010668004.1	WP_010668004.1		hypothetical protein			A39U_RS0108045	966	321	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1660467	1661402	+							A39U_RS0108050	936		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1660467	1661402	+	WP_051078657.1	WP_051078657.1		hypothetical protein			A39U_RS0108050	936	311	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1661667	1662752	-							A39U_RS0108055	1086		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1661667	1662752	-	WP_010666117.1	WP_010666117.1		purine nucleoside permease			A39U_RS0108055	1086	361	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1662777	1664348	-							A39U_RS0108060	1572		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1662777	1664348	-	WP_010666116.1	WP_010666116.1		adenosine deaminase			A39U_RS0108060	1572	523	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1664457	1666640	+							A39U_RS0108065	2184		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1664457	1666640	+	WP_010666115.1	WP_010666115.1		M1 family metallopeptidase			A39U_RS0108065	2184	727	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1666948	1667655	+							A39U_RS19865	708		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1666948	1667655	+	WP_010666114.1	WP_010666114.1		hypothetical protein			A39U_RS19865	708	235	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1667745	1668041	-							A39U_RS0108075	297		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1667745	1668041	-	WP_010666113.1	WP_010666113.1		YggT family protein			A39U_RS0108075	297	98	
gene	tRNA	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1668198	1668273	+							A39U_RS0108080	76		
tRNA		GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1668198	1668273	+				tRNA-Ala			A39U_RS0108080	76		anticodon=CGC
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1668392	1668865	-							A39U_RS0108085	474		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1668392	1668865	-	WP_010669098.1	WP_010669098.1		hypothetical protein			A39U_RS0108085	474	157	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1668862	1669584	-							A39U_RS0108090	723		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1668862	1669584	-	WP_010669099.1	WP_010669099.1		hypothetical protein			A39U_RS0108090	723	240	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1669584	1669904	-							A39U_RS0108095	321		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1669584	1669904	-	WP_010669100.1	WP_010669100.1		hypothetical protein			A39U_RS0108095	321	106	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1669912	1670685	-							A39U_RS0108100	774		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1669912	1670685	-	WP_018307761.1	WP_018307761.1		terminase family protein			A39U_RS0108100	774	257	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1670678	1671274	-							A39U_RS0108105	597		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1670678	1671274	-	WP_010668886.1	WP_010668886.1		hypothetical protein			A39U_RS0108105	597	198	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1671271	1671786	-							A39U_RS0108110	516		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1671271	1671786	-	WP_010668887.1	WP_010668887.1		hypothetical protein			A39U_RS0108110	516	171	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1671786	1672004	-							A39U_RS0108115	219		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1671786	1672004	-	WP_010668888.1	WP_010668888.1		hypothetical protein			A39U_RS0108115	219	72	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1672001	1672180	-							A39U_RS0108120	180		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1672001	1672180	-	WP_010668889.1	WP_010668889.1		helix-turn-helix domain-containing protein			A39U_RS0108120	180	59	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1672908	1674308	-							A39U_RS0108125	1401		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1672908	1674308	-	WP_018308036.1	WP_018308036.1		DUF5906 domain-containing protein			A39U_RS0108125	1401	466	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1674305	1675105	-							A39U_RS0108130	801		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1674305	1675105	-	WP_010668193.1	WP_010668193.1		bifunctional DNA primase/polymerase			A39U_RS0108130	801	266	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1675102	1675965	-							A39U_RS18670	864		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1675102	1675965	-	WP_018308037.1	WP_018308037.1		hypothetical protein			A39U_RS18670	864	287	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1675962	1676303	-							A39U_RS0108140	342		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1675962	1676303	-	WP_018308038.1	WP_018308038.1		hypothetical protein			A39U_RS0108140	342	113	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1676443	1676637	-							A39U_RS0108145	195		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1676443	1676637	-	WP_010668215.1	WP_010668215.1		hypothetical protein			A39U_RS0108145	195	64	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1676722	1677348	-							A39U_RS0108150	627		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1676722	1677348	-	WP_018308039.1	WP_018308039.1		hypothetical protein			A39U_RS0108150	627	208	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1677394	1677702	-							A39U_RS18125	309		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1677394	1677702	-	WP_018308040.1	WP_018308040.1		hypothetical protein			A39U_RS18125	309	102	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1677699	1677962	-							A39U_RS0108160	264		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1677699	1677962	-	WP_010668980.1	WP_010668980.1		hypothetical protein			A39U_RS0108160	264	87	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1677959	1678171	-							A39U_RS0108165	213		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1677959	1678171	-	WP_010668981.1	WP_010668981.1		hypothetical protein			A39U_RS0108165	213	70	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1678168	1678404	-							A39U_RS0108170	237		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1678168	1678404	-	WP_010668982.1	WP_010668982.1		hypothetical protein			A39U_RS0108170	237	78	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1678401	1678724	-							A39U_RS0108175	324		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1678401	1678724	-	WP_010668983.1	WP_010668983.1		hypothetical protein			A39U_RS0108175	324	107	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1678721	1678891	-							A39U_RS19870	171		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1678721	1678891	-	WP_018308042.1	WP_018308042.1		hypothetical protein			A39U_RS19870	171	56	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1679059	1679373	+							A39U_RS19110	315		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1679059	1679373	+	WP_081470924.1	WP_081470924.1		hypothetical protein			A39U_RS19110	315	104	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1679588	1679947	+							A39U_RS0108190	360		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1679588	1679947	+	WP_010665832.1	WP_010665832.1		type II toxin-antitoxin system RelE/ParE family toxin			A39U_RS0108190	360	119	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1679944	1680285	+							A39U_RS0108195	342		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1679944	1680285	+	WP_010665833.1	WP_010665833.1		XRE family transcriptional regulator			A39U_RS0108195	342	113	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1680286	1681491	-							A39U_RS0108200	1206		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1680286	1681491	-	WP_018308043.1	WP_018308043.1		tyrosine-type recombinase/integrase			A39U_RS0108200	1206	401	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1682168	1682581	+							A39U_RS0108205	414		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1682168	1682581	+	WP_010668689.1	WP_010668689.1		pentapeptide repeat-containing protein			A39U_RS0108205	414	137	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1682696	1685620	+					uvrA		A39U_RS0108210	2925		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1682696	1685620	+	WP_010668690.1	WP_010668690.1		excinuclease ABC subunit UvrA	uvrA		A39U_RS0108210	2925	974	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1685747	1686475	-							A39U_RS19545	729		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1685747	1686475	-	WP_132012067.1	WP_132012067.1		hypothetical protein			A39U_RS19545	729	242	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1686405	1687013	-							A39U_RS18130	609		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1686405	1687013	-	WP_010666862.1	WP_010666862.1		DUF4065 domain-containing protein			A39U_RS18130	609	202	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1687324	1689762	-							A39U_RS0108225	2439		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1687324	1689762	-	WP_010666863.1	WP_010666863.1		RNA helicase			A39U_RS0108225	2439	812	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1689940	1690464	-							A39U_RS0108230	525		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1689940	1690464	-	WP_010666864.1	WP_010666864.1		DUF2501 domain-containing protein			A39U_RS0108230	525	174	
gene	tRNA	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1690792	1690867	-							A39U_RS0108235	76		
tRNA		GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1690792	1690867	-				tRNA-Lys			A39U_RS0108235	76		anticodon=CTT
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1690953	1691966	-							A39U_RS0108240	1014		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1690953	1691966	-	WP_190653912.1	WP_190653912.1		ParB/RepB/Spo0J family partition protein			A39U_RS0108240	1014	337	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1691884	1692654	-							A39U_RS0108245	771		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1691884	1692654	-	WP_026200085.1	WP_026200085.1		AAA family ATPase			A39U_RS0108245	771	256	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1692719	1693318	-					rsmG		A39U_RS0108250	600		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1692719	1693318	-	WP_010669015.1	WP_010669015.1		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG		A39U_RS0108250	600	199	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1693315	1695177	-					mnmG		A39U_RS0108255	1863		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1693315	1695177	-	WP_010669016.1	WP_010669016.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	mnmG		A39U_RS0108255	1863	620	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1695190	1696524	-					mnmE		A39U_RS0108260	1335		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1695190	1696524	-	WP_010669017.1	WP_010669017.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	mnmE		A39U_RS0108260	1335	444	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1696642	1697091	+							A39U_RS0108265	450		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1696642	1697091	+	WP_010669018.1	WP_010669018.1		methylated-DNA--[protein]-cysteine S-methyltransferase			A39U_RS0108265	450	149	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1697225	1698124	+							A39U_RS0108270	900		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1697225	1698124	+	WP_026200087.1	WP_026200087.1		glycosyltransferase			A39U_RS0108270	900	299	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1698161	1699030	+							A39U_RS0108275	870		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1698161	1699030	+	WP_010669242.1	WP_010669242.1		glycosyltransferase family 2 protein			A39U_RS0108275	870	289	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1699378	1702218	+							A39U_RS0108280	2841		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1699378	1702218	+	WP_010668052.1	WP_010668052.1		Hint domain-containing protein			A39U_RS0108280	2841	946	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1702454	1703416	-							A39U_RS0108285	963		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1702454	1703416	-	WP_010668276.1	WP_010668276.1		glycosyl transferase family 8			A39U_RS0108285	963	320	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1703694	1705934	-							A39U_RS0108290	2241		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1703694	1705934	-	WP_081617524.1	WP_081617524.1		thioredoxin family protein			A39U_RS0108290	2241	746	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1705933	1708473	+					hrpB		A39U_RS0108295	2541		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1705933	1708473	+	WP_010666696.1	WP_010666696.1		ATP-dependent helicase HrpB	hrpB		A39U_RS0108295	2541	846	
